GRUPO;NOMBRE GIRA;AÑO;MES;MERCADO;PAÍS;CIUDAD;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Europa ;Alemania;Berlín ;Mercedes Benz Arena;71000;62;232
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Sudeste Asiático;Tailandia;Bangkok;Impact Arena;12000;83;203
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Sudeste Asiático;Filipinas;Bulacan;Philippine Arena;55000;31;310
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;11;Oceanía ;Australia;Melbourne;Marvel Stadium;53343;132;234
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Japón ;Japón;Nagoya;Vantelin Dome Nagoya;50619;70;91
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Sudeste Asiático;Indonesia;Yakarta;Jakarta International Stadium;82000;71;214
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Japón ;Japón;Fukuoka;PayPay Dome;40000;70;91
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;7;Corea del Sur;Corea del Sur;Seúl;Gocheok Sky Dome;16744;117;150
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;9;Japón ;Japón;Tokio;Tokyo Dome;55000;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;11;Japón ;Japón;Saitama;Belluna Dome;31552;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;11;Japón ;Japón;Aichi;Vantelin Dome Nagoya;50619;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón ;Japón;Aichi;Vantelin Dome Nagoya;50619;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón ;Japón;Osaka;Kyocera Dome Osaka;55000;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón ;Japón;Fukoaka;Fukuoka Paypay Dome;47500;105;168
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Sudeste Asiático;Tailandia ;Bangkok;Rajamangala National Stadium;51552;75;295
ARTMS;Moonshot in Korea;2024;7;Corea del Sur;Corea del Sur;Seúl;Ewha Womans Univ. Samsung Hall;2800;92;92
ARTMS;Moonshot in Korea;2024;7;Corea del Sur;Corea del Sur;Seúl;Ewha Womans Univ. Samsung Hall;2800;92;92
ARTMS;Moonshot in Japan;2024;7;Japón;Japón;Tokio;KT Zepp Yokohama;2146;250;400
ARTMS;Moonshot in US;2024;8;Estados Unidos;Estados Unidos;Nueva York;King's Theatre;3250;40;300
ARTMS;Moonshot in US;2024;8;Estados Unidos;Estados Unidos;Atlanta;Tabernacle;2600;46;162
ARTMS;Moonshot in US;2024;8;Estados Unidos;Estados Unidos;Denver;The Van Buren;1800;59;199
ARTMS;Moonshot in US;2024;8;Estados Unidos;Estados Unidos;Los Ángeles;The Orpheum Theatre;1976;40;195
ARTMS;Moonshot in US;2024;9;Estados Unidos;Estados Unidos;San Francisco;The Warfield;2300;157;157
ARTMS;Moonshot in US;2024;9;Estados Unidos;Estados Unidos;Mineápolis;Uptown Theater;1700;39;199
ARTMS;Moonshot in US;2024;9;Estados Unidos;Estados Unidos;Chicago;Copernicus Center;1852;50;175
ARTMS;Moonshot in Latinamerica;2024;9;América Latina;Chile;Santiago de Chile;Teatro Teletón;1250;53;299
ARTMS;Moonshot in Latinamerica;2024;9;América Latina;Colombia;Bogotá;Royal Center;4500;55;90
ARTMS;Moonshot in Latinamerica;2024;9;México;México;Ciudad de México;Auditorio BB;3252;40;160
ARTMS;Moonshot in Europe;2024;10;Europa;Finlandia;Helsinki;House of Culture;1452;75;130
ARTMS;Moonshot in Europe;2024;10;Europa;Polonia ;Varsovia;Progresja;2000;60;100
ARTMS;Moonshot in Europe;2024;10;Europa;Francia;París;Salle Pleyel;2000;43;125
ARTMS;Moonshot in Europe;2024;10;Europa;España;Barcelona;Sala Razzmatazz;2100;65;175
ARTMS;Moonshot in Australia;2024;11;Oceanía;Australia;Brisbane;The Tivoli;1560;65;185
ARTMS;Moonshot in Australia;2024;11;Oceanía;Australia;Melbourne;170 Russell;1000;65;185
ARTMS;Moonshot in Australia;2024;11;Oceanía;Australia;Sídney;Liberty Hall;1200;65;185
ARTMS;Moonshot in Macau;2024;11;China;China;Macao;Macau Fisherman's Wharf Convention and Exhibition Center;3000;90;193
Stray Kids;DominATE Tour;2024;8;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;85;120
Stray Kids;DominATE Tour;2024;8;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;85;120
Stray Kids;DominATE Tour;2024;8;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;85;120
Stray Kids;DominATE Tour;2024;9;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;85;120
Stray Kids;DominATE Tour;2024;9;Sudeste asiático;Singapur;Singapur;Estadio Nacional;48000;120;250
Stray Kids;DominATE Tour;2024;10;Oceanía;Australia;Melbourne;Estadio Marvel;53000;100;240
Stray Kids;DominATE Tour;2024;10;Oceanía;Australia;Sídney;Estadio Allianz;42000;100;240
Stray Kids;DominATE Tour;2024;11;China;Taiwán;Kaohsiung;Estadio Nacional de Kaohsiung;55000;90;190
Stray Kids;DominATE Tour;2024;11;Japón;Japón;Tokio;Tokyo Dome;55000;90;110
Stray Kids;DominATE Tour;2024;11;Japón;Japón;Tokio;Tokyo Dome;55000;90;110
Stray Kids;DominATE Tour;2024;11;Japón;Japón;Tokio;Tokyo Dome;55000;90;110
Stray Kids;DominATE Tour;2024;11;Sudeste asiático;Filipinas;Bocaue;Arena Filipina;15000;45;300
Stray Kids;DominATE Tour;2024;11;China;China;Macao;Galaxy Arena;16000;80;230
Stray Kids;DominATE Tour;2024;11;China;China;Macao;Galaxy Arena;16000;80;230
Stray Kids;DominATE Tour;2024;12;Sudeste asiático;Tailandia;Bangkok;Estadio Suphachalasai;20000;80;190
Stray Kids;DominATE Tour;2024;12;Sudeste asiático;Indonesia;Yakarta;Estadio de Indonesia;82000;100;230
Stray Kids;DominATE Tour;2024;1;China;Hong Kong;Hong Kong;AsiaWorld–Arena;14000;90;250
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;6;Corea del Sur;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;113;145
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;6;Corea del Sur;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;113;145
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;China;China;Hong Kong;AsiaWorld–Expo, Hall 10;22000;114;255
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;China;China;Hong Kong;AsiaWorld–Expo, Hall 10;22000;114;255
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;China;Taiwán;Taipéi;NTSU Arena;15000;85;225
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;China;Taiwán;Taipéi;NTSU Arena;15000;85;225
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;China;Taiwán;Taipéi;NTSU Arena;15000;85;225
