GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,China,China ,Hong Kong,Asia World Expo Hall 10,13500, $74.75 , $255.17 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,Estados Unidos ,Estados Unidos,Chicago,Rosemont Theatre,4400, $65.00 , $215.00 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,Estados Unidos ,Estados Unidos,Dallas,Verizon Theatre At Grand Praire,6350, $65.00 , $215.00 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,América del Norte,Canadá,Toronto,Massey Hall,2752, $61.23 , $208.91 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,Estados Unidos ,Estados Unidos,Nueva York,Terminal 5,3000, $65.00 , $215.00 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,América Latina,Chile,Santiago,Movistar Arena,16522, $26.48 , $105.90 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,9,Sudeste Asiático,Malasia,Kuala Lumpur,Stadium Negara,10000, $47.84 , $120.74 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,9,Sudeste Asiático,Indonesia,Yakarta,Ice Hall 3A,3000, $53.41 , $118.68 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,9,Sudeste Asiático,Singapur,Singapur,Suntec Singapore Convention & Exhibition Centre Hall,6850, $89.61 , $233.89 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,10,Sudeste Asiático,Filipinas,Manila ,Mall of Asia Arena,20000, $17.68 , $221.01 
Super Junior,Super Show 7,2018,1,Sudeste asiático,Singapur,Singapur,Singapore Indoor Stadium,12000, $135.00 , $390.00 
Super Junior,Super Show 7,2018,4,América Latina,Perú,Lima,Jockey Club,10000, $65.00 , $250.00 
Super Junior,Super Show 7,2018,4,América Latina,Chile,Santiago de Chile,Movistar Arena,16522, $50.00 , $220.00 
BTS,"BTS World Tour ""Love Yourself""",2018,8,Corea del Sur,Corea del Sur,Seúl,Olympic Stadium ,69950, $69.62 , $77.36 
BTS,"BTS World Tour ""Love Yourself""",2018,9,Estados Unidos ,Estados Unidos ,Los Ángeles,Staples Center ,20000, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,9,Estados Unidos ,Estados Unidos ,Oakland,Oracle Arena ,19200, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,9,Estados Unidos ,Estados Unidos ,Texas,Forth Worth Convention Center ,13000, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,9,América del Norte,Canadá,Hamilton,First Ontario Centre,17383, $57.81 , $234.83 
BTS,"BTS World Tour ""Love Yourself""",2018,9,Estados Unidos ,Estados Unidos ,New Jersey,Prudential Center Newark NJ,16755, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,10,Estados Unidos ,Estados Unidos ,Chicago,United Center,23500, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,10,Estados Unidos ,Estados Unidos ,Nueva York ,Citi Field Stadium ,41800, $60.00 , $250.00 
BTS,"BTS World Tour ""Love Yourself""",2018,10,Europa ,Inglaterra ,Londres ,The O2 Arena ,20000, $72.00 , $253.44 
