GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
Pungdeng-E;DOMA Entertainment;2014; presente;Mujeres;3;0;Sin datos;
Smile Girls;Starhaus Entertainment;2015;2015;Mujeres;2;0;Sin datos;
Verry;StoneShip Entertainment;2015;2015;Mujeres;2;0;Sin datos;
A Plus;Owl Entertainment;2015;2016;Mujeres;3;0;Sin datos;
MyB;Maroo Entertainment;2015;2016;Mujeres;6;0;Sin datos;
The Shorties;CS Entertainment;2015;2016;Mujeres;3;0;Sin datos;
A.KOR BLACK;Doo Republic;2015;2017;Mujeres;2;0;Sin datos;
H2L (ex SUS4);Regolith Entertainment;2015;2017;Mujeres;3;0;Sin datos;
Queendom (Sixth Sense);ANJ Entertainment;2015;2017;Mujeres;3;0;Sin datos;
Cupid;Narda Entertainment;2015;2019;Mujeres;7;0;Sin datos;
LIME;V&K Entertainment;2015;2019;Mujeres;3;0;Sin datos;
Baby Boo;Hyunda Entertainment;2015;2020;Mujeres;3;0;Sin datos;
GFriend;Source Music;2015;2021;Mujeres;6;0;Sin datos;
April;DSP Media;2015;2022;Mujeres;6;0;Sin datos;
CLC;Cube Entertainment;2015;2022;Mujeres;7;0;Sin datos;
DIA;MBK Entertainment;2015;2022;Mujeres;10;0;Sin datos;
Oh My Girl;WM Entertainment;2015; presente;Mujeres;7;0;Sin datos;
PPL;Parksal Entertainment;2015; presente;Mujeres;6;0;Sin datos;
Rubber Soul;Universal Music;2015; presente;Mujeres;2;0;Sin datos;
Twice;JYP Entertainment;2015; presente;Mujeres;9;1;10.326.727;
Daydream;Voice Level;2016;2016;Mujeres;3;0;Sin datos;
Double B;In Entertainment;2016;2016;Mujeres;2;0;Sin datos;
Red Sun;Invictus Music;2016;2016;Mujeres;2;0;Sin datos;
A.De;2ABLE Company;2016;2017;Mujeres;6;0;Sin datos;
I.O.I;YMC Entertainment;2016;2017;Mujeres;11;0;Sin datos;
O21 (O To One);Houxiu TV;2016;2017;Mujeres;6;0;Sin datos;
Bling;PS Creative;2016;2018;Mujeres;6;0;Sin datos;
J-Young;Softventures Inc.;2016;2018;Mujeres;2;0;Sin datos;
Real Girls Project;Interactive Media Mix;2016;2018;Mujeres;10;0;Sin datos;
CocoSori;Mole Entertainment;2016;2019;Mujeres;2;0;Sin datos;
OAHSIS;YAMA & HOTCHICKS;2016;2019;Mujeres;7;0;Sin datos;
U-US;Erum Entertainment;2016;2019;Mujeres;3;0;Sin datos;
Gugudan;Jellyfish Entertainment;2016;2020;Mujeres;8;0;Sin datos;
LOONA;Blockberry Creative;2016;2023;Mujeres;12;0;Sin datos;
Momoland;MLD Entertainment;2016;2023;Mujeres;9;0;Sin datos;
AOA Cream;FNC Entertainment;2016; presente;Mujeres;3;0;Sin datos;
Bolbbalgan4;Shofar Music;2016; presente;Mujeres;2;0;Sin datos;
Cosmic Girls (WJSN);Starship Entertainment;2016; presente;Mujeres;13;0;Sin datos;
L.U.B[n 44]​;MBK Entertainment;2016; presente;Mujeres;2;0;Sin datos;
MOXIE;Urban Entertainment;2016; presente;Mujeres;2;0;Sin datos;
Cashcoma;ThisIs Media;2017;2017;Mujeres;2;0;Sin datos;
Girls Next Door;Il Entertainment;2017;2017;Mujeres;7;0;Sin datos;
S.E.T;Hoonstar Entertainment;2017;2017;Mujeres;3;0;Sin datos;
S2;Climix Entertainment;2017;2018;Mujeres;6;0;Sin datos;
