GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
BTS;"BTS World Tour ""Love Yourself""";2019;2;Japón;Fukuoka ;Fukuoka Yahuoku! Dome ;52000;80,58 USD;84,42 USD
BTS;"BTS World Tour ""Love Yourself""";2019;3;China ;Hong Kong ;Asia World Expo Arena ;14000;75,78 USD;320,65 USD
BTS;"BTS World Tour ""Love Yourself""";2019;4;Tailandia ;Bangkok;Rajamangala National Stadium ;51552;60,40 USD;205,35 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;5;Estados Unidos ;Los Ángeles;Rose Bowl Stadium ;89702;55,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;5;Estados Unidos ;Chicago;Soldier Field ;61500;55,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;5;Estados Unidos ;New Jersey;Metife Stadium ;82500;55,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;5;Brasil ;Sao Paulo ;Allianz Parque ;43713;186,75 USD;242,78 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;6;Inglaterra ;Londres ;Wembley Stadium ;90000;51,81 USD;184,22 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;6;Francia ;París;Stade de France ;80000;69,08 USD;207,25 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;7;Japón;Osaka ;Yanmar Stadium Nagai;47816;80,37 USD;84,19 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;7;Japón;Shizuoka ;Shizuoka Stadium Ecopa;50889;80,37 USD;84,19 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;10;Arabia Saudita ;Riad ;Estadio Rey Fahd ;58398;53,31 USD;319,85 USD
BTS;"BTS World Tour ""Love Yourself: Speak Yourself"" ";2019;10;Corea del Sur;Seúl;Olympic Stadium ;69950;77,37 USD;77,37 USD
BTS;"BTS Offline Concert ""BTS PERMISSION TO DANCE ON STAGE - LA""";2021;11;Estados Unidos ;Los Ángeles;SoFi Stadium ;70000;60,00 USD;450,00 USD
BTS;"BTS Offline Concert ""BTS PERMISSION TO DANCE ON STAGE - LA""";2021;12;Estados Unidos ;Los Ángeles;SoFi Stadium ;70000;60,00 USD;450,00 USD
BTS;"""BTS PERMISSION TO DANCE ON STAGE - SEOUL""";2022;3;Corea del Sur;Seúl;Olympic Stadium ;69950;116,04 USD;154,72 USD
BTS;"""BTS PERMISSION TO DANCE ON STAGE - LAS VEGAS""";2022;4;Estados Unidos ;Las Vegas ;Allegiant Stadium ;65000;79,09 USD;565,82 USD
BTS;YET TO COME IN BUSAN;2022;10;Corea del Sur;Busan ;Busan Asiad Main Stadium ;53864;0,00 USD;0,00 USD
TWICE;TWICELAND The Opening;2017;2;Corea del Sur;Seúl;SK Olympic Handball Gymnasium;6500;Sin datos;Sin datos
TWICE;TWICELAND The Opening;2017;4;Tailandia;Bangkok;Thunder Dome;15000;53,61 USD;163,81 USD
TWICE;TWICELAND The Opening;2017;4;Singapur ;Singapur;The Star Performing Arts Centre;5000;127,66 USD;218,84 USD
TWICE;TWICELAND The Opening;2017;6;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;Sin datos;Sin datos
TWICE;TWICELAND Zone 2: Fantasy Park;2018;5;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;Sin datos;Sin datos
TWICE;TWICELAND Zone 2: Fantasy Park;2018;5;Japón;Saitama;Saitama Super Arena;37000;90,73 USD;160,52 USD
TWICE;TWICELAND Zone 2: Fantasy Park;2018;6;Japón;Osaka;Osaka Jo Hall;16000;90,73 USD;
TWICE;TWICELAND Zone 2: Fantasy Park;2018;6;Singapur ;Singapur;Singapore Indoor Stadium;12000;127,66 USD;218,84 USD
TWICE;TWICELAND Zone 2: Fantasy Park;2018;8;Tailandia;Bangkok;Thunder Dome;15000;59,57 USD;172,75 USD
TWICE;TWICELAND Zone 2: Fantasy Park;2018;8;Indonesia;Yakarta;Indonesia Convention Exhibition ;10000;94,99 USD;130,61 USD
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Seto;Seto City Cultural Center;1500;Sin datos;Sin datos
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Fukuoka;Fukuoka Sun Palace;2316;Sin datos;Sin datos
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Hiroshima;Ueno Gakuen Hall;1730;Sin datos;Sin datos
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Osaka;Gran Cube Osaka;2700;Sin datos;Sin datos
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Tokio;NHK Hall;3800;Sin datos;Sin datos
