TIPO DE EVENTO,AÑO,MES,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA ,NOMBRE GIRA
Concierto,2017,4,Japón,Aichi,Nippon Gaishi Hall,10000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,4,Japón,Osaka,Osaka Jo-Hall,16000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,4,Japón,Saitama,Saitama Super Arena,365000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,4,Japón,Hokkaido,Hokkaido Prefecture Sports Center,8000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,4,Japón,Hiroshima,Hiroshima Green Arena,10000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,4,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,9,Japón,Tokyo,Tokyo Dome,55000,,,"SHINee World ""Five"" Special Edition"
Concierto,2017,9,Japón,Osaka,Kyocera Dome,55000,86 US$,,"SHINee World ""Five"" Special Edition"
Concierto,2018,2,Japón,Osaka,Kyocera Dome,55000,86 US$,,"SHINee World The Best 2018 ""From Now On"""
Concierto,2018,2,Japón,Tokyo,Tokyo Dome,55000,86 US$,,"SHINee World The Best 2018 ""From Now On"""
Concierto,2019,1,Chile,Santiago de Chile,Estadio Nacional,46190,59 US$,179 US$,SMTOWN Live
Concierto,2024,6,Chile,Santiago de Chile,Movistar Arena,16522,82 US$,588 US$,MBC It’s Live Festival
Concierto,2025,5,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,113 US$,145 US$,SHINee WORLD Ⅶ [E.S.S.A.Y]
